Date,dividend,ticker
2008-05-29,2.15,SBIN.NS
2009-06-10,2.9,SBIN.NS
2010-02-05,1.0,SBIN.NS
2010-06-09,2.0,SBIN.NS
2011-05-20,3.0,SBIN.NS
2012-05-24,3.5,SBIN.NS
2013-05-28,4.15,SBIN.NS
2014-03-11,1.5,SBIN.NS
2014-05-29,1.5,SBIN.NS
2015-05-28,3.5,SBIN.NS
2016-06-03,2.6,SBIN.NS
2017-05-26,2.6,SBIN.NS
2021-06-03,4.0,SBIN.NS
2022-05-25,7.1,SBIN.NS
2023-05-31,11.3,SBIN.NS
2004-10-28,0.375,TCS.NS
2005-02-03,0.4375,TCS.NS
2005-07-06,0.625,TCS.NS
2005-08-18,0.375,TCS.NS
2005-10-18,0.375,TCS.NS
2006-01-18,0.375,TCS.NS
2006-06-16,0.5625,TCS.NS
2006-07-28,0.375,TCS.NS
2006-10-23,0.75,TCS.NS
2007-01-22,0.75,TCS.NS
2007-06-15,1.0,TCS.NS
2007-07-27,0.75,TCS.NS
2007-10-22,0.75,TCS.NS
2008-01-23,0.75,TCS.NS
2008-06-18,1.25,TCS.NS
2008-07-31,0.75,TCS.NS
2008-10-29,0.75,TCS.NS
2009-01-28,0.75,TCS.NS
2009-06-16,1.25,TCS.NS
2009-07-27,1.0,TCS.NS
2009-10-28,1.0,TCS.NS
2010-01-27,1.0,TCS.NS
2010-06-15,5.0,TCS.NS
2010-07-29,1.0,TCS.NS
2010-11-01,1.0,TCS.NS
2011-01-27,1.0,TCS.NS
2011-06-08,4.0,TCS.NS
2011-07-28,1.5,TCS.NS
2011-10-25,1.5,TCS.NS
2012-01-25,1.5,TCS.NS
2012-06-07,4.0,TCS.NS
2012-07-23,1.5,TCS.NS
2012-10-31,1.5,TCS.NS
2013-01-23,1.5,TCS.NS
2013-06-06,6.5,TCS.NS
2013-07-29,2.0,TCS.NS
2013-10-25,2.0,TCS.NS
2014-01-27,2.0,TCS.NS
2014-06-06,10.0,TCS.NS
